title,release_year,vote_average,popularity,genres,success
Miami Rhapsody,1995,5.6,1.137266,"Comedy, Romance",0
Nell,1994,6.1,5.930957,"Drama, Thriller",1
Natural Born Killers,1994,6.9,11.226856,"Crime, Thriller, Drama",1
Outbreak,1995,6.4,13.676444,"Action, Drama, Science Fiction, Thriller",1
Leon: The Professional,1994,8.2,20.477329,"Thriller, Crime, Drama",1
The Perez Family,1995,6.6,1.433544,"Comedy, Drama, Romance",0
Pulp Fiction,1994,8.3,140.950236,"Thriller, Crime",1
Pushing Hands,1992,6.1,1.638622,"Comedy, Drama",0
The Quick and the Dead,1995,6.2,7.54701,"Action, Western",0
Roommates,1995,6.4,3.395867,"Drama, Comedy",0
Prêt-à-Porter,1994,5.3,6.259433,"Drama, Comedy",0
The Swan Princess,1994,6.5,8.910462,Animation,0
The Specialist,1994,5.5,10.388183,"Action, Thriller",1
Stargate,1994,6.8,13.328924,"Action, Adventure, Science Fiction",1
The Santa Clause,1994,6.3,9.665424,"Fantasy, Drama, Comedy, Family",1
The Shawshank Redemption,1994,8.5,51.645403,"Drama, Crime",1
Tank Girl,1995,5.5,7.602087,"Action, Comedy, Fantasy, Science Fiction",0
Star Trek: Generations,1994,6.4,8.105708,"Science Fiction, Action, Adventure, Thriller",1
Tales from the Hood,1995,5.4,2.86007,"Crime, Horror, Thriller",1
What's Eating Gilbert Grape,1993,7.5,10.3919,"Romance, Drama",0
Virtuosity,1995,5.4,5.188399,"Action, Crime, Science Fiction, Thriller",0
While You Were Sleeping,1995,6.5,15.783615,"Comedy, Drama, Romance",1
Muriel's Wedding,1994,6.9,5.254847,"Drama, Comedy, Romance",1
Ace Ventura: Pet Detective,1994,6.4,11.247957,"Comedy, Mystery",1
Bitter Moon,1992,7.0,11.298195,"Thriller, Drama, Romance",0
Clear and Present Danger,1994,6.4,7.513245,"Action, Drama, Thriller",1
The Client,1994,6.4,15.263829,"Drama, Thriller, Crime, Mystery",1
The Crow,1994,7.3,15.799336,"Fantasy, Action, Thriller",1
The Flintstones,1994,5.0,15.019586,"Fantasy, Comedy, Family",1
Forrest Gump,1994,8.2,48.307194,"Comedy, Drama, Romance",1
Four Weddings and a Funeral,1994,6.6,8.990345,"Comedy, Drama, Romance",1
I Love Trouble,1994,5.3,3.570874,"Action, Comedy, Romance",1
The Lion King,1994,8.0,21.605761,"Family, Animation, Drama",1
Little Buddha,1993,6.0,5.681522,"Drama, History",0
New Nightmare,1994,6.4,9.860522,"Horror, Thriller, Mystery, Fantasy",1
The Mask,1994,6.6,14.13488,"Romance, Comedy, Crime, Fantasy",1
The Naked Gun 33⅓: The Final Insult,1994,6.4,10.587232,"Comedy, Crime",1
Reality Bites,1994,6.5,6.514592,Drama,1
Red Rock West,1993,6.4,5.137903,"Crime, Drama, Thriller",0
Speed,1994,6.8,10.859292,"Action, Adventure, Crime",1
Timecop,1994,5.5,8.907074,"Thriller, Science Fiction, Action, Crime",1
True Lies,1994,6.8,11.396099,"Action, Thriller",1
Wyatt Earp,1994,6.5,9.277147,"Drama, Action, Western",0
A Low Down Dirty Shame,1994,6.0,3.021526,"Action, Comedy, Crime",1
Jason's Lyric,1994,5.9,0.912909,"Crime, Drama, Romance",1
Street Fighter,1994,4.1,13.58449,"Action, Adventure, Thriller",1
Highlander: The Final Dimension,1994,4.5,6.866634,"Action, Fantasy, Science Fiction",1
In the Mouth of Madness,1994,7.1,8.497643,"Horror, Mystery, Thriller",1
The Age of Innocence,1993,7.0,8.013617,"Drama, Romance",0
The Air Up There,1994,5.1,1.896273,"Comedy, Family",1
Beverly Hills Cop III,1994,5.5,11.787784,"Action, Comedy, Crime",1
Body Snatchers,1993,5.8,6.559693,"Horror, Science Fiction, Thriller",0
A Bronx Tale,1993,7.4,6.115628,"Drama, Crime",0
Calendar Girl,1993,3.7,1.316741,"Drama, Comedy",0
Carlito's Way,1993,7.7,8.698509,"Action, Crime, Drama, Thriller",1
Cliffhanger,1993,6.1,9.830853,"Action, Adventure, Thriller",1
Color of Night,1994,5.4,14.228963,"Drama, Mystery, Romance, Thriller",0
Dazed and Confused,1993,7.4,6.8652,"Comedy, Drama",1
Demolition Man,1993,6.4,11.626116,"Crime, Action, Science Fiction",1
For Love or Money,1993,5.7,8.468869,"Comedy, Romance",0
The Firm,1993,6.6,9.678367,"Drama, Mystery, Thriller",1
Free Willy,1993,6.0,5.990572,"Family, Adventure",1
The Fugitive,1993,7.2,10.08937,"Adventure, Action, Thriller, Crime, Mystery",1
Geronimo: An American Legend,1993,5.9,4.653462,"History, Action, Drama, Western",0
Hard Target,1993,6.1,7.834351,"Action, Adventure, Crime, Thriller",1
Hot Shots! Part Deux,1993,6.2,13.482371,"Action, Comedy, War",1
In the Line of Fire,1993,6.8,12.637158,"Action, Drama, Thriller, Crime, Mystery",1
In the Name of the Father,1993,7.6,7.405895,Drama,1
Jurassic Park,1993,7.6,8.863776,"Adventure, Science Fiction",1
Kalifornia,1993,6.5,8.4337,"Thriller, Crime",0
Killing Zoe,1993,6.1,4.948569,"Action, Crime, Drama, Thriller",0
Last Action Hero,1993,6.1,9.434006,"Adventure, Fantasy, Action, Comedy, Family",1
Manhattan Murder Mystery,1993,7.1,8.939404,"Comedy, Mystery",0
Menace II Society,1993,7.2,5.260924,"Drama, Action, Crime",1
Executive Decision,1996,5.8,13.106291,"Action, Adventure, Drama, Thriller",1
Mrs. Doubtfire,1993,7.0,11.16553,"Comedy, Drama, Family",1
The Next Karate Kid,1994,4.8,9.9697,Adventure,1
No Escape,1994,6.1,9.715187,"Action, Drama, Science Fiction, Thriller",0
A Perfect World,1993,7.2,8.040589,"Crime, Drama, Thriller",1
Philadelphia,1993,7.6,13.373006,Drama,1
The Piano,1993,7.1,7.436758,"Drama, Romance",1
Poetic Justice,1993,6.9,6.972599,"Drama, Romance",1
The Ref,1994,6.7,5.868677,Comedy,1
The Remains of the Day,1993,7.5,12.222576,"Drama, Romance",1
Renaissance Man,1994,5.9,4.985157,"Comedy, War",0
RoboCop 3,1993,4.2,8.685798,"Action, Adventure, Crime, Science Fiction, Thriller",0
Robin Hood: Men in Tights,1993,6.4,17.136672,Comedy,1
Romeo Is Bleeding,1993,5.7,9.796318,"Action, Crime, Drama, Thriller",0
Ruby in Paradise,1993,5.6,0.941994,"Drama, Romance",1
Rudy,1993,7.2,5.914833,Drama,1
Schindler's List,1993,8.3,41.725123,"Drama, History, War",1
Serial Mom,1994,6.4,5.305311,"Comedy, Crime, Horror, Thriller",0
The Shadow,1994,5.4,7.881107,"Adventure, Fantasy, Action, Thriller, Science Fiction",1
Sleepless in Seattle,1993,6.5,10.234919,"Comedy, Drama, Romance",1
Sliver,1993,4.9,11.23297,"Drama, Thriller",1
Blade Runner,1982,7.9,96.272374,"Science Fiction, Drama, Thriller",1
So I Married an Axe Murderer,1993,6.1,8.051914,"Comedy, Crime, Romance",0
Super Mario Bros.,1993,4.0,7.198455,"Adventure, Comedy, Family, Fantasy",0
Surviving the Game,1994,6.1,3.644641,"Action, Adventure, Thriller, Crime",1
Terminal Velocity,1994,5.0,8.012225,"Action, Thriller",0
The Nightmare Before Christmas,1993,7.6,17.730913,"Fantasy, Animation, Family",1
The Three Musketeers,1993,6.2,6.34785,"Action, Adventure, Comedy",1
Tombstone,1993,7.4,11.338194,"Action, Adventure, Drama, History, Western",1
True Romance,1993,7.5,17.189328,"Action, Thriller, Crime, Romance",0
The Pagemaster,1994,6.2,7.436001,"Fantasy, Science Fiction, Family, Animation",0
Home Alone,1990,7.1,0.702543,"Comedy, Family",1
Ghost,1990,6.9,11.945397,"Fantasy, Drama, Thriller, Mystery, Romance",1
Aladdin,1992,7.4,16.357419,"Animation, Family, Comedy, Adventure, Fantasy, Romance",1
Terminator 2: Judgment Day,1991,7.7,22.661695,"Action, Thriller, Science Fiction",1
Dances with Wolves,1990,7.6,11.654349,"Adventure, Drama, Western",1
Batman,1989,7.0,19.10673,"Fantasy, Action",1
The Silence of the Lambs,1991,8.1,4.307222,"Crime, Drama, Thriller",1
Snow White and the Seven Dwarfs,1937,6.9,16.263878,"Fantasy, Animation, Family",1
Beauty and the Beast,1991,7.5,23.433511,"Romance, Family, Animation, Fantasy, Music",1
Pinocchio,1940,6.9,14.202284,"Animation, Family",1
Pretty Woman,1990,7.0,13.348451,"Romance, Comedy",1
The Wild Bunch,1969,7.7,11.722424,"Adventure, Western",0
Fargo,1996,7.7,12.61469,"Crime, Drama, Thriller",1
Hellraiser: Bloodline,1996,4.9,5.263187,"Horror, Thriller, Science Fiction",1
The Aristocats,1970,7.1,9.834047,"Animation, Comedy, Family, Adventure",1
Primal Fear,1996,7.4,10.326213,"Crime, Drama, Mystery, Thriller",1
Girl 6,1996,5.7,4.405169,Comedy,0
Courage Under Fire,1996,6.2,11.595316,"Drama, Thriller, Mystery, War",1
Mission: Impossible,1996,6.7,15.793477,"Adventure, Action, Thriller",1
DragonHeart,1996,6.4,23.63659,Fantasy,1
James and the Giant Peach,1996,6.2,13.217623,"Adventure, Animation, Family",0
Faithful,1996,4.8,1.296862,"Comedy, Crime, Drama",0
Space Jam,1996,6.5,11.054251,"Animation, Comedy, Drama, Family, Fantasy",1
Barbarella,1968,5.7,14.304205,Science Fiction,0
Mrs. Winterbourne,1996,5.5,9.1861,"Comedy, Romance, Drama",0
The Quest,1996,5.3,7.941972,"Action, Adventure",1
Oliver & Company,1988,6.5,10.813579,"Animation, Comedy, Family",1
Flipper,1996,5.3,4.557006,"Adventure, Family",0
The Horseman on the Roof,1995,6.7,1.690768,"War, Adventure, Drama, Romance",0
The Craft,1996,6.3,12.860385,"Drama, Fantasy, Horror, Thriller",1
Original Gangstas,1996,5.5,0.343579,"Action, Drama, Crime, Thriller",0
The Rock,1996,6.9,13.249824,"Action, Adventure, Thriller",1
Twister,1996,6.1,8.739144,"Action, Adventure, Drama",1
The Arrival,1996,6.1,6.497591,"Action, Mystery, Science Fiction, Thriller",0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.0,9.80398,"Drama, Comedy, War",1
The Phantom,1996,4.7,8.079541,"Adventure, Action",0
Striptease,1996,4.4,11.341502,"Drama, Thriller, Crime",1
Jack,1996,5.9,6.287245,"Comedy, Drama, Science Fiction",1
Trainspotting,1996,7.8,19.348466,"Drama, Crime",1
Independence Day,1996,6.7,17.634197,"Action, Adventure, Science Fiction",1
The Fan,1996,5.7,12.202063,"Drama, Mystery, Thriller",0
The Hunchback of Notre Dame,1996,6.8,13.553999,"Drama, Animation, Family",1
The Cable Guy,1996,5.7,7.586577,"Comedy, Drama, Thriller",1
Kingpin,1996,6.7,11.633347,Comedy,0
Eraser,1996,5.6,6.919314,"Action, Drama, Mystery, Thriller",1
The Nutty Professor,1996,5.4,9.651581,"Fantasy, Comedy, Romance, Science Fiction",1
Daylight,1996,5.8,11.995799,"Action, Adventure, Thriller",1
The Frighteners,1996,6.7,12.09096,"Horror, Comedy",0
Lone Star,1996,6.9,9.069963,"Drama, Mystery, Romance",1
Phenomenon,1996,6.2,5.575992,"Drama, Fantasy, Romance, Science Fiction",1
She's the One,1996,5.7,10.827266,"Comedy, Romance",1
A Time to Kill,1996,7.0,13.309013,"Crime, Drama, Thriller",1
Fled,1996,5.2,3.906949,"Action, Comedy, Thriller",0
Joe's Apartment,1996,5.0,9.490858,"Fantasy, Comedy, Music",0
The First Wives Club,1996,6.5,10.177303,Comedy,1
Ransom,1996,6.4,8.772188,"Action, Thriller",1
Chain Reaction,1996,5.3,15.874491,"Action, Drama, Science Fiction, Thriller",1
Matilda,1996,6.9,10.034915,"Comedy, Family, Fantasy",0
Emma,1996,6.7,6.593011,"Drama, Comedy, Romance",1
The Crow: City of Angels,1996,5.2,6.554679,"Action, Fantasy, Thriller",1
Bordello of Blood,1996,5.0,3.450402,"Horror, Comedy",0
The Spitfire Grill,1996,6.8,1.19589,"Comedy, Drama",1
Escape from L.A.,1996,5.6,12.229381,"Action, Adventure, Science Fiction, Thriller",0
Basquiat,1996,6.6,4.797674,"Drama, History",1
Tin Cup,1996,5.9,6.24966,"Comedy, Drama, Romance",1
Dingo,1991,6.0,0.124273,"Drama, Music",1
The Godfather,1972,8.5,41.109264,"Drama, Crime",1
Police Story 3: Supercop,1992,6.7,6.751864,"Action, Crime, Thriller",1
Manny & Lo,1996,6.3,1.143656,"Drama, Comedy",0
Bound,1996,6.9,12.449574,"Crime, Drama, Romance, Thriller",1
The Relic,1997,5.8,7.699967,"Horror, Mystery, Thriller",0
The Island of Dr. Moreau,1996,4.6,12.725343,"Fantasy, Horror, Science Fiction",1
Bulletproof,1996,5.4,7.859132,"Action, Adventure, Comedy, Thriller",0
Halloween: The Curse of Michael Myers,1995,5.0,8.768288,"Horror, Thriller",1
Singin' in the Rain,1952,7.9,11.064858,"Comedy, Music, Romance",1
An American in Paris,1951,6.9,5.565203,"Drama, Comedy, Music, Romance",1
Breakfast at Tiffany's,1961,7.6,10.879289,"Comedy, Drama, Romance",1
Vertigo,1958,8.0,18.20822,"Mystery, Romance, Thriller",1
Rear Window,1954,8.2,17.911314,"Drama, Mystery, Thriller",1
It Happened One Night,1934,7.7,6.465257,"Comedy, Romance",1
North by Northwest,1959,7.8,12.410427,"Mystery, Thriller",1
The Apartment,1960,8.1,11.994281,"Comedy, Drama, Romance",1
Some Like It Hot,1959,8.0,11.845107,"Comedy, Romance",1
Charade,1963,7.7,7.098731,"Comedy, Mystery, Romance, Thriller",1
Casablanca,1942,7.9,13.916101,"Drama, Romance",1
The Maltese Falcon,1941,7.8,5.782544,"Mystery, Crime, Thriller",1
My Fair Lady,1964,7.4,12.494394,"Drama, Family, Music, Romance",1
Sabrina,1954,7.4,7.359741,"Comedy, Drama, Romance",1
Roman Holiday,1953,7.8,11.954806,"Comedy, Romance",1
The Wizard of Oz,1939,7.4,22.064932,"Adventure, Family, Fantasy",1
Gone with the Wind,1939,7.7,14.240357,"Drama, Romance, War",1
Sunset Boulevard,1950,8.2,11.709777,Drama,1
Citizen Kane,1941,8.0,15.811921,"Mystery, Drama",1
2001: A Space Odyssey,1968,7.9,22.494622,"Science Fiction, Mystery, Adventure",1
All About Eve,1950,8.0,12.06308,Drama,0
The Women,1939,6.4,5.076649,"Comedy, Drama",1
Rebecca,1940,7.7,8.590813,"Drama, Mystery",1
Notorious,1946,7.8,10.135111,"Thriller, Drama, Romance",1
Spellbound,1945,7.3,5.47596,"Drama, Mystery, Thriller",1
To Catch a Thief,1955,7.1,5.490505,"Crime, Drama, Mystery, Romance, Thriller",1
Ninotchka,1939,7.3,5.120036,"Comedy, Romance",1
The Adventures of Robin Hood,1938,7.6,10.685036,"Action, Adventure, Romance",1
Laura,1944,7.6,9.884516,"Drama, Mystery",1
Top Hat,1935,7.4,7.122093,"Comedy, Music, Romance",1
Giant,1956,7.5,10.864284,"Action, Drama, Western",1
East of Eden,1955,7.5,6.42883,Drama,1
The Thin Man,1934,7.4,10.573867,"Comedy, Crime, Mystery",1
Around the World in Eighty Days,1956,6.5,6.164226,"Adventure, Comedy, Family, Fantasy, Romance",1
It's a Wonderful Life,1946,8.0,15.031588,"Drama, Family, Fantasy",1
Mr. Smith Goes to Washington,1939,7.9,8.168694,"Comedy, Drama",1
Night of the Living Dead,1968,7.5,14.384198,Horror,1
The African Queen,1951,7.4,6.636872,"Adventure, War, Romance",1
Cat on a Hot Tin Roof,1958,7.6,11.794846,"Drama, Romance",1
A Farewell to Arms,1932,6.2,1.914697,"Drama, Romance, War",1
Maximum Risk,1996,5.3,7.370163,"Action, Adventure, Thriller",1
Michael Collins,1996,6.8,6.728199,"Drama, Thriller",0
Last Man Standing,1996,6.2,11.845918,"Action, Crime, Drama, Thriller",0
Set It Off,1996,6.9,6.85606,"Drama, Action, Crime",1
Curdled,1996,6.2,2.781581,"Comedy, Crime, Thriller",0
Extreme Measures,1996,5.7,4.990506,"Drama, Thriller",0
The Chamber,1996,5.9,3.998494,"Crime, Drama",0
"20,000 Leagues Under the Sea",1954,6.9,8.722406,"Adventure, Drama, Science Fiction",1
Cool Runnings,1993,6.8,8.30721,Comedy,1
Cinderella,1950,6.8,14.436858,"Family, Fantasy, Animation, Romance",1
The Sword in the Stone,1963,6.9,10.636458,"Animation, Family",1
Robin Hood: Prince of Thieves,1991,6.6,10.639244,Adventure,1
Mary Poppins,1964,7.4,15.11549,"Comedy, Family, Fantasy",1
Dumbo,1941,6.8,14.655879,"Animation, Family",1
Bedknobs and Broomsticks,1971,6.8,10.362012,"Adventure, Fantasy, Animation, Comedy, Family, Music",0
Alice in Wonderland,1951,7.0,16.488937,"Animation, Adventure, Family, Fantasy",1
The Fox and the Hound,1981,7.0,10.197106,"Adventure, Animation, Drama, Family",1
The Sound of Music,1965,7.4,9.06773,"Drama, Family, Music, Romance",1
Die Hard,1988,7.5,16.640522,"Action, Thriller",1
The Lawnmower Man,1992,5.4,6.685948,"Horror, Thriller, Science Fiction",1
Secrets & Lies,1996,7.1,11.223572,Drama,1
Surviving Picasso,1996,5.3,2.167132,"Drama, Romance",0
The Long Kiss Goodnight,1996,6.4,14.482345,"Crime, Action, Mystery, Thriller",1
The Ghost and the Darkness,1996,6.4,10.789928,Adventure,1
Get on the Bus,1996,7.0,5.230661,Drama,1
Shadow Conspiracy,1997,4.0,3.733574,"Action, Thriller",0
Jude,1996,6.6,3.379677,"Drama, Romance",0
Romeo + Juliet,1996,6.7,11.774061,"Drama, Romance",1
Swingers,1996,6.8,6.578025,"Comedy, Romance",1
Sleepers,1996,7.3,9.198283,"Crime, Drama, Thriller",1
Willy Wonka & the Chocolate Factory,1971,7.4,12.416635,"Family, Fantasy",1
Sleeper,1973,7.0,6.048904,"Comedy, Romance, Science Fiction",1
Bananas,1971,6.7,4.331819,Comedy,1
A Fish Called Wanda,1988,7.1,11.400353,"Comedy, Crime",1
Life of Brian,1979,7.7,10.714173,Comedy,1
The Great Race,1965,7.2,4.473327,"Adventure, Comedy",1
Bonnie and Clyde,1967,7.6,12.109198,"Crime, Drama",1
Dial M for Murder,1954,7.9,7.853231,"Crime, Mystery, Thriller",1
Dirty Dancing,1987,7.1,14.044122,"Drama, Music, Romance",1
Reservoir Dogs,1992,8.1,12.22034,"Crime, Thriller",1
Platoon,1986,7.5,18.206972,"Drama, War, Action",1
Weekend at Bernie's,1989,6.4,8.051891,Comedy,1
Basic Instinct,1992,6.5,16.628427,"Thriller, Mystery",1
The Doors,1991,6.7,7.829619,"Drama, Music",0
The Crying Game,1992,6.9,7.404329,"Romance, Crime, Drama, Thriller",1
Glengarry Glen Ross,1992,7.5,6.792215,"Crime, Drama, Mystery",0
Sophie's Choice,1982,7.4,15.417202,"Drama, Romance",1
E.T. the Extra-Terrestrial,1982,7.3,19.358546,"Science Fiction, Adventure, Family, Fantasy",1
Days of Thunder,1990,5.9,7.046753,Adventure,1
Top Gun,1986,6.7,20.301019,"Action, Romance, War",1
A Streetcar Named Desire,1951,7.6,7.301719,Drama,1
The Funeral,1996,7.3,2.772039,"Crime, Drama",0
The People vs. Larry Flynt,1996,6.8,9.178371,Drama,0
The Return of the Pink Panther,1975,6.7,6.501177,"Mystery, Comedy, Crime",1
Drop Dead Fred,1991,5.9,7.88101,"Comedy, Fantasy, Family",1
The Abyss,1989,7.1,9.809585,"Adventure, Action, Thriller, Science Fiction",1
The Fog,1980,6.4,9.194572,Horror,1
Escape from New York,1981,6.9,10.124544,"Science Fiction, Action",1
The Howling,1981,6.4,6.715512,"Drama, Horror",1
Monty Python and the Holy Grail,1975,7.8,10.43389,"Adventure, Comedy, Fantasy",1
Bad Moon,1996,5.7,2.661026,Horror,0
Delicatessen,1991,7.4,12.565447,"Comedy, Science Fiction, Fantasy",0
The English Patient,1996,7.0,15.564161,"Drama, Romance, War",1
My Left Foot: The Story of Christy Brown,1989,7.5,5.841931,Drama,1
Strictly Ballroom,1992,6.2,3.233531,"Comedy, Drama, Romance",1
Madonna: Truth or Dare,1991,6.3,1.325299,"Documentary, Music",1
Paris is Burning,1990,8.2,4.101295,Documentary,1
One Flew Over the Cuckoo's Nest,1975,8.3,35.529554,Drama,1
The Empire Strikes Back,1980,8.2,19.470959,"Adventure, Action, Science Fiction",1
The Princess Bride,1987,7.6,15.15267,"Adventure, Family, Fantasy, Comedy, Romance",1
Raiders of the Lost Ark,1981,7.7,19.901576,"Adventure, Action",1
Aliens,1986,7.7,21.761179,"Horror, Action, Thriller, Science Fiction",1
"The Good, the Bad and the Ugly",1966,8.1,16.788787,Western,1
