title,release_year,budget,revenue,runtime,vote_average,vote_count,popularity,genres,success
Pocahontas,1995,55000000.0,346079773.0,81.0,6.7,1509.0,13.280069,"Adventure, Animation, Drama, Family",1
The Usual Suspects,1995,6000000.0,23341568.0,106.0,8.1,3334.0,16.302466,"Drama, Crime, Thriller",1
Mighty Aphrodite,1995,15000000.0,6700000.0,95.0,6.7,145.0,15.899134,"Comedy, Romance",0
Friday,1995,3500000.0,28215918.0,91.0,7.0,513.0,14.56965,Comedy,1
From Dusk Till Dawn,1996,19000000.0,25836616.0,108.0,6.9,1644.0,15.339153,"Horror, Action, Thriller, Crime",1
Fair Game,1995,50000000.0,11534477.0,91.0,4.1,54.0,5.912223,"Action, Thriller, Romance",0
Big Bully,1996,15000000.0,2042530.0,90.0,3.9,16.0,2.936443,"Comedy, Family",0
Screamers,1995,20000000.0,5781885.0,108.0,6.1,154.0,12.758848,"Horror, Science Fiction",0
Things to Do in Denver When You're Dead,1995,8000000.0,529766.0,116.0,6.7,87.0,4.486179,"Drama, Crime",0
White Squall,1996,38000000.0,10300000.0,129.0,6.3,86.0,9.568604,"Action, Drama",0
Nick of Time,1995,8169363.0,8175346.0,90.0,6.1,190.0,6.848591,"Crime, Drama, Thriller",1
Mary Reilly,1996,47000000.0,12379402.0,104.0,5.7,77.0,12.866139,"Drama, Horror, Thriller, Romance",0
Vampire in Brooklyn,1995,14000000.0,19800000.0,100.0,4.5,113.0,9.071127,"Comedy, Horror, Romance",1
Broken Arrow,1996,50000000.0,150270147.0,108.0,5.7,459.0,14.957626,"Action, Adventure, Drama, Thriller",1
Bottle Rocket,1996,7000000.0,560069.0,91.0,6.8,285.0,6.904831,"Comedy, Crime, Drama",0
Happy Gilmore,1996,12000000.0,41205099.0,92.0,6.5,767.0,9.592265,Comedy,1
The Bridges of Madison County,1995,24000000.0,182016617.0,135.0,7.3,397.0,5.951077,"Drama, Romance",1
Braveheart,1995,72000000.0,210000000.0,177.0,7.7,3404.0,20.755149,"Action, Drama, History, War",1
Taxi Driver,1976,1300000.0,28262574.0,114.0,8.1,2632.0,14.092713,"Crime, Drama",1
Rumble in the Bronx,1995,7500000.0,32392047.0,91.0,6.5,245.0,12.314278,"Crime, Action, Comedy, Thriller",1
Steal Big Steal Little,1995,25000000.0,6278139.0,113.0,5.1,7.0,1.522412,"Comedy, Drama",0
Boomerang,1992,40000000.0,70100000.0,117.0,5.4,139.0,6.506983,"Comedy, Romance",1
Flirting with Disaster,1996,7000000.0,14702438.0,92.0,6.3,66.0,5.579088,"Comedy, Romance",1
Jade,1995,50000000.0,9851610.0,95.0,5.1,45.0,11.418917,"Action, Thriller, Mystery, Romance",0
The Birdcage,1996,31000000.0,185260553.0,117.0,6.7,303.0,6.49968,Comedy,1
Bad Boys,1995,19000000.0,141407024.0,118.0,6.5,1729.0,9.262184,"Action, Comedy, Crime, Thriller",1
An Awfully Big Adventure,1995,4000000.0,851545.0,113.0,6.0,11.0,0.922958,"Romance, Drama, Comedy",0
Apollo 13,1995,52000000.0,355237933.0,140.0,7.3,1637.0,18.761467,Drama,1
Rob Roy,1995,28000000.0,31596911.0,139.0,6.5,151.0,10.193549,Adventure,1
Batman Forever,1995,100000000.0,336529144.0,121.0,5.2,1529.0,13.321354,"Action, Crime, Fantasy",1
Blue in the Face,1995,2000000.0,1275000.0,83.0,6.8,28.0,11.528147,Comedy,0
Canadian Bacon,1995,11000000.0,178104.0,91.0,5.9,57.0,5.391556,"Action, Comedy",0
Casper,1995,50000000.0,287928194.0,100.0,6.0,1045.0,12.812539,"Fantasy, Comedy, Family",1
Clockers,1995,25000000.0,13071518.0,128.0,6.8,69.0,4.558992,"Mystery, Crime, Drama",0
Congo,1995,50000000.0,152022101.0,109.0,5.0,214.0,7.260574,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",1
Crimson Tide,1995,53000000.0,157387195.0,116.0,7.0,508.0,8.657365,"Action, Thriller, Drama",1
Desperado,1995,7000000.0,25405445.0,104.0,6.8,898.0,6.950458,"Thriller, Action, Crime",1
Devil in a Blue Dress,1995,27000000.0,16140822.0,102.0,6.3,88.0,4.646132,"Drama, Mystery, Thriller",0
Die Hard: With a Vengeance,1995,90000000.0,366101666.0,128.0,6.9,2094.0,15.138855,"Action, Thriller",1
First Knight,1995,55000000.0,127600435.0,134.0,5.9,319.0,15.178338,"Action, Adventure, Drama, Romance",1
Hackers,1995,20000000.0,7563728.0,107.0,6.2,406.0,14.810519,"Action, Crime, Thriller, Drama",0
Johnny Mnemonic,1995,25000000.0,19075720.0,97.0,5.5,380.0,11.715868,"Adventure, Action, Drama, Science Fiction, Thriller",0
Judge Dredd,1995,90000000.0,113493481.0,96.0,5.4,643.0,8.184815,Science Fiction,1
Kids,1995,1500000.0,7412216.0,91.0,6.8,280.0,4.877872,"Drama, Crime",1
Living in Oblivion,1995,500000.0,1148752.0,89.0,7.2,64.0,10.058329,"Drama, Comedy",1
Mallrats,1995,6000000.0,2122561.0,94.0,6.8,400.0,8.25547,"Romance, Comedy",0
Mighty Morphin Power Rangers: The Movie,1995,15000000.0,66000000.0,92.0,5.2,153.0,7.024227,"Action, Adventure, Science Fiction, Family, Fantasy",1
Mute Witness,1995,2.0,1.0,95.0,6.4,36.0,2.466066,"Thriller, Foreign",0
The Net,1995,22000000.0,110627965.0,114.0,5.6,359.0,13.304342,"Crime, Drama, Mystery, Thriller, Action",1
Party Girl,1995,150000.0,472370.0,94.0,5.8,14.0,1.165039,Comedy,1
The Prophecy,1995,8.0,16.0,98.0,6.4,139.0,10.187623,"Fantasy, Horror, Thriller",1
The Scarlet Letter,1995,50000000.0,10382407.0,135.0,5.5,111.0,6.752119,"Drama, History, Romance",0
Showgirls,1995,45000000.0,20350754.0,128.0,4.9,261.0,17.502375,Drama,0
Smoke,1995,7000000.0,8349430.0,112.0,7.2,115.0,5.552946,"Comedy, Drama",1
Species,1995,35000000.0,113374103.0,108.0,5.5,457.0,13.492845,"Science Fiction, Horror, Action",1
Strange Days,1995,42000000.0,7959291.0,145.0,6.8,334.0,11.223055,"Crime, Drama, Science Fiction, Thriller",0
The Tie That Binds,1995,14000000.0,5780000.0,99.0,4.6,9.0,1.820419,Thriller,0
Under Siege 2: Dark Territory,1995,60000000.0,104324083.0,100.0,5.6,217.0,7.490247,"Action, Thriller",1
A Walk in the Clouds,1995,20000000.0,50012507.0,103.0,6.5,168.0,9.715639,"Drama, Romance",1
Waterworld,1995,175000000.0,264218220.0,135.0,5.9,1017.0,16.885184,"Adventure, Action",1
Burnt by the Sun,1994,2800000.0,2616503.0,135.0,6.7,35.0,2.486073,Drama,0
Before Sunrise,1995,2500000.0,5535405.0,105.0,7.7,984.0,11.304979,"Drama, Romance",1
Billy Madison,1995,10000000.0,26488734.0,89.0,6.2,464.0,6.638116,Comedy,1
Boys on the Side,1995,21000000.0,23450000.0,115.0,6.3,48.0,3.030309,"Comedy, Drama",1
Clerks,1994,27000.0,3151130.0,92.0,7.4,769.0,10.513367,Comedy,1
Don Juan DeMarco,1994,25000000.0,22200000.0,97.0,6.3,184.0,7.438934,"Romance, Drama, Comedy",0
Disclosure,1994,55000000.0,214015089.0,123.0,5.9,217.0,11.812244,"Drama, Thriller, Crime, Mystery, Romance",1
Dumb and Dumber,1994,16000000.0,247275374.0,107.0,6.5,1894.0,9.844558,Comedy,1
Ed Wood,1994,18000000.0,5887457.0,127.0,7.3,639.0,11.720358,"Comedy, Drama, History",0
Hideaway,1995,15000000.0,12201255.0,103.0,5.0,24.0,8.182165,"Drama, Thriller",0
Hoop Dreams,1994,700000.0,7830611.0,171.0,7.7,91.0,9.47666,Documentary,1
Heavenly Creatures,1994,5000000.0,3049135.0,99.0,6.9,299.0,9.438042,"Drama, Fantasy",0
Houseguest,1995,10500000.0,26325256.0,113.0,6.0,17.0,2.688562,"Comedy, Family",1
Interview with the Vampire,1994,60000000.0,223664608.0,123.0,7.2,1558.0,11.970205,"Horror, Romance",1
Jefferson in Paris,1995,14000000.0,2474000.0,139.0,5.2,10.0,1.596058,"Drama, Romance",0
Junior,1994,60000000.0,37000000.0,109.0,4.7,381.0,6.710215,"Comedy, Family, Romance",0
Star Wars,1977,11000000.0,775398007.0,121.0,8.1,6778.0,42.149697,"Adventure, Action, Science Fiction",1
Like Water for Chocolate,1992,2000000.0,21665468.0,105.0,6.6,70.0,4.126083,"Drama, Romance",1
Legends of the Fall,1994,30000000.0,160638883.0,133.0,7.2,636.0,12.199047,"Adventure, Drama, Romance, War",1
Losing Isaiah,1995,17000000.0,7603766.0,106.0,6.4,28.0,7.698526,Drama,0
Mary Shelley's Frankenstein,1994,45000000.0,112006296.0,123.0,6.1,272.0,14.287753,"Drama, Horror, Science Fiction, Romance",1
Miami Rhapsody,1995,6.0,5.0,95.0,5.6,7.0,1.137266,"Comedy, Romance",0
Nell,1994,31000000.0,106683817.0,112.0,6.1,128.0,5.930957,"Drama, Thriller",1
Natural Born Killers,1994,34000000.0,50282766.0,119.0,6.9,927.0,11.226856,"Crime, Thriller, Drama",1
Outbreak,1995,50000000.0,189859560.0,127.0,6.4,522.0,13.676444,"Action, Drama, Science Fiction, Thriller",1
Leon: The Professional,1994,16000000.0,45284974.0,110.0,8.2,4293.0,20.477329,"Thriller, Crime, Drama",1
The Perez Family,1995,11000000.0,2832826.0,113.0,6.6,9.0,1.433544,"Comedy, Drama, Romance",0
Pulp Fiction,1994,8000000.0,213928762.0,154.0,8.3,8670.0,140.950236,"Thriller, Crime",1
Pushing Hands,1992,400000.0,152322.0,105.0,6.1,9.0,1.638622,"Comedy, Drama",0
The Quick and the Dead,1995,32000000.0,18552460.0,107.0,6.2,431.0,7.54701,"Action, Western",0
Roommates,1995,22000000.0,12400000.0,108.0,6.4,7.0,3.395867,"Drama, Comedy",0
Prêt-à-Porter,1994,15000000.0,11300653.0,133.0,5.3,33.0,6.259433,"Drama, Comedy",0
The Swan Princess,1994,35000000.0,9771658.0,89.0,6.5,251.0,8.910462,Animation,0
The Specialist,1994,45000000.0,170362582.0,110.0,5.5,317.0,10.388183,"Action, Thriller",1
Stargate,1994,55000000.0,196567262.0,121.0,6.8,942.0,13.328924,"Action, Adventure, Science Fiction",1
The Santa Clause,1994,22000000.0,189833357.0,97.0,6.3,501.0,9.665424,"Fantasy, Drama, Comedy, Family",1
The Shawshank Redemption,1994,25000000.0,28341469.0,142.0,8.5,8358.0,51.645403,"Drama, Crime",1
Tank Girl,1995,25000000.0,4064495.0,98.0,5.5,140.0,7.602087,"Action, Comedy, Fantasy, Science Fiction",0
Star Trek: Generations,1994,38000000.0,120000000.0,118.0,6.4,461.0,8.105708,"Science Fiction, Action, Adventure, Thriller",1
Tales from the Hood,1995,6000000.0,12000000.0,98.0,5.4,33.0,2.86007,"Crime, Horror, Thriller",1
What's Eating Gilbert Grape,1993,11000000.0,10032765.0,118.0,7.5,943.0,10.3919,"Romance, Drama",0
Virtuosity,1995,30000000.0,24048000.0,106.0,5.4,163.0,5.188399,"Action, Crime, Science Fiction, Thriller",0
While You Were Sleeping,1995,17000000.0,182057016.0,103.0,6.5,340.0,15.783615,"Comedy, Drama, Romance",1
Muriel's Wedding,1994,3000000.0,15119639.0,106.0,6.9,104.0,5.254847,"Drama, Comedy, Romance",1
Ace Ventura: Pet Detective,1994,15000000.0,107217396.0,86.0,6.4,1684.0,11.247957,"Comedy, Mystery",1
Bitter Moon,1992,5000000.0,1862805.0,139.0,7.0,115.0,11.298195,"Thriller, Drama, Romance",0
Clear and Present Danger,1994,62000000.0,215887717.0,141.0,6.4,390.0,7.513245,"Action, Drama, Thriller",1
The Client,1994,45000000.0,117615211.0,119.0,6.4,287.0,15.263829,"Drama, Thriller, Crime, Mystery",1
The Crow,1994,15000000.0,94000000.0,102.0,7.3,980.0,15.799336,"Fantasy, Action, Thriller",1
The Flintstones,1994,46000000.0,341631208.0,91.0,5.0,559.0,15.019586,"Fantasy, Comedy, Family",1
Forrest Gump,1994,55000000.0,677945399.0,142.0,8.2,8147.0,48.307194,"Comedy, Drama, Romance",1
Four Weddings and a Funeral,1994,6000000.0,254700832.0,117.0,6.6,654.0,8.990345,"Comedy, Drama, Romance",1
I Love Trouble,1994,45000000.0,61947267.0,123.0,5.3,41.0,3.570874,"Action, Comedy, Romance",1
The Lion King,1994,45000000.0,788241776.0,89.0,8.0,5520.0,21.605761,"Family, Animation, Drama",1
Little Buddha,1993,35000000.0,4858139.0,140.0,6.0,76.0,5.681522,"Drama, History",0
New Nightmare,1994,14000000.0,18090181.0,112.0,6.4,297.0,9.860522,"Horror, Thriller, Mystery, Fantasy",1
The Mask,1994,23000000.0,351583407.0,101.0,6.6,2550.0,14.13488,"Romance, Comedy, Crime, Fantasy",1
The Naked Gun 33⅓: The Final Insult,1994,30000000.0,51132598.0,83.0,6.4,535.0,10.587232,"Comedy, Crime",1
Reality Bites,1994,11500000.0,20079850.0,99.0,6.5,180.0,6.514592,Drama,1
Red Rock West,1993,8000000.0,2000000.0,98.0,6.4,71.0,5.137903,"Crime, Drama, Thriller",0
Speed,1994,30000000.0,350448145.0,116.0,6.8,1814.0,10.859292,"Action, Adventure, Crime",1
Timecop,1994,27000000.0,101646581.0,99.0,5.5,288.0,8.907074,"Thriller, Science Fiction, Action, Crime",1
True Lies,1994,115000000.0,378882411.0,141.0,6.8,1138.0,11.396099,"Action, Thriller",1
Wyatt Earp,1994,63000000.0,25052000.0,191.0,6.5,203.0,9.277147,"Drama, Action, Western",0
A Low Down Dirty Shame,1994,10000000.0,29392418.0,100.0,6.0,31.0,3.021526,"Action, Comedy, Crime",1
Jason's Lyric,1994,7000000.0,20851521.0,119.0,5.9,9.0,0.912909,"Crime, Drama, Romance",1
Street Fighter,1994,35000000.0,99423521.0,102.0,4.1,330.0,13.58449,"Action, Adventure, Thriller",1
Highlander: The Final Dimension,1994,26000000.0,36800000.0,99.0,4.5,110.0,6.866634,"Action, Fantasy, Science Fiction",1
In the Mouth of Madness,1994,8000000.0,8946600.0,95.0,7.1,307.0,8.497643,"Horror, Mystery, Thriller",1
The Age of Innocence,1993,34000000.0,32255440.0,139.0,7.0,172.0,8.013617,"Drama, Romance",0
The Air Up There,1994,17080000.0,21011500.0,107.0,5.1,42.0,1.896273,"Comedy, Family",1
Beverly Hills Cop III,1994,50000000.0,119208989.0,104.0,5.5,445.0,11.787784,"Action, Comedy, Crime",1
Body Snatchers,1993,13000000.0,428868.0,87.0,5.8,102.0,6.559693,"Horror, Science Fiction, Thriller",0
A Bronx Tale,1993,22000000.0,17287898.0,121.0,7.4,447.0,6.115628,"Drama, Crime",0
Calendar Girl,1993,13000000.0,2570145.0,90.0,3.7,10.0,1.316741,"Drama, Comedy",0
Carlito's Way,1993,30000000.0,36516012.0,144.0,7.7,805.0,8.698509,"Action, Crime, Drama, Thriller",1
Cliffhanger,1993,70000000.0,255000211.0,112.0,6.1,600.0,9.830853,"Action, Adventure, Thriller",1
Color of Night,1994,40000000.0,19726050.0,121.0,5.4,117.0,14.228963,"Drama, Mystery, Romance, Thriller",0
Dazed and Confused,1993,6900000.0,7993039.0,102.0,7.4,588.0,6.8652,"Comedy, Drama",1
Demolition Man,1993,57000000.0,159055768.0,115.0,6.4,1018.0,11.626116,"Crime, Action, Science Fiction",1
For Love or Money,1993,30000000.0,11146270.0,94.0,5.7,77.0,8.468869,"Comedy, Romance",0
The Firm,1993,42000000.0,270248367.0,154.0,6.6,513.0,9.678367,"Drama, Mystery, Thriller",1
Free Willy,1993,20000000.0,153698625.0,112.0,6.0,429.0,5.990572,"Family, Adventure",1
The Fugitive,1993,44000000.0,368875760.0,130.0,7.2,1240.0,10.08937,"Adventure, Action, Thriller, Crime, Mystery",1
Geronimo: An American Legend,1993,35000000.0,18635620.0,115.0,5.9,44.0,4.653462,"History, Action, Drama, Western",0
Hard Target,1993,18000000.0,74189677.0,97.0,6.1,237.0,7.834351,"Action, Adventure, Crime, Thriller",1
Hot Shots! Part Deux,1993,25000000.0,133752825.0,86.0,6.2,463.0,13.482371,"Action, Comedy, War",1
In the Line of Fire,1993,40000000.0,176997168.0,128.0,6.8,392.0,12.637158,"Action, Drama, Thriller, Crime, Mystery",1
In the Name of the Father,1993,13000000.0,65796862.0,133.0,7.6,363.0,7.405895,Drama,1
Jurassic Park,1993,63000000.0,920100000.0,127.0,7.6,4956.0,8.863776,"Adventure, Science Fiction",1
Kalifornia,1993,9000000.0,2395231.0,117.0,6.5,209.0,8.4337,"Thriller, Crime",0
Killing Zoe,1993,1500000.0,418961.0,96.0,6.1,111.0,4.948569,"Action, Crime, Drama, Thriller",0
Last Action Hero,1993,85000000.0,137298489.0,130.0,6.1,725.0,9.434006,"Adventure, Fantasy, Action, Comedy, Family",1
Manhattan Murder Mystery,1993,13500000.0,11285588.0,104.0,7.1,169.0,8.939404,"Comedy, Mystery",0
Menace II Society,1993,3500000.0,27900000.0,97.0,7.2,179.0,5.260924,"Drama, Action, Crime",1
Executive Decision,1996,55000000.0,121969216.0,133.0,5.8,261.0,13.106291,"Action, Adventure, Drama, Thriller",1
Mrs. Doubtfire,1993,25000000.0,441286195.0,125.0,7.0,1638.0,11.16553,"Comedy, Drama, Family",1
The Next Karate Kid,1994,12000000.0,15826984.0,107.0,4.8,202.0,9.9697,Adventure,1
No Escape,1994,20000000.0,15340000.0,118.0,6.1,86.0,9.715187,"Action, Drama, Science Fiction, Thriller",0
A Perfect World,1993,30000000.0,135130999.0,138.0,7.2,376.0,8.040589,"Crime, Drama, Thriller",1
Philadelphia,1993,26000000.0,206678440.0,125.0,7.6,1019.0,13.373006,Drama,1
The Piano,1993,7000000.0,116700000.0,121.0,7.1,290.0,7.436758,"Drama, Romance",1
Poetic Justice,1993,14000000.0,27515786.0,109.0,6.9,47.0,6.972599,"Drama, Romance",1
The Ref,1994,11000000.0,11439193.0,97.0,6.7,99.0,5.868677,Comedy,1
The Remains of the Day,1993,11500000.0,23237911.0,134.0,7.5,213.0,12.222576,"Drama, Romance",1
Renaissance Man,1994,40000000.0,24332324.0,128.0,5.9,83.0,4.985157,"Comedy, War",0
RoboCop 3,1993,22000000.0,10696210.0,104.0,4.2,309.0,8.685798,"Action, Adventure, Crime, Science Fiction, Thriller",0
Robin Hood: Men in Tights,1993,20000000.0,35739755.0,104.0,6.4,575.0,17.136672,Comedy,1
Romeo Is Bleeding,1993,11500000.0,3275585.0,100.0,5.7,36.0,9.796318,"Action, Crime, Drama, Thriller",0
Ruby in Paradise,1993,800000.0,1001437.0,114.0,5.6,10.0,0.941994,"Drama, Romance",1
Rudy,1993,12000000.0,22750363.0,114.0,7.2,187.0,5.914833,Drama,1
Schindler's List,1993,22000000.0,321365567.0,195.0,8.3,4436.0,41.725123,"Drama, History, War",1
Serial Mom,1994,13000000.0,7820688.0,95.0,6.4,137.0,5.305311,"Comedy, Crime, Horror, Thriller",0
The Shadow,1994,25000000.0,48063435.0,108.0,5.4,140.0,7.881107,"Adventure, Fantasy, Action, Thriller, Science Fiction",1
Sleepless in Seattle,1993,21000000.0,227799884.0,105.0,6.5,630.0,10.234919,"Comedy, Drama, Romance",1
Sliver,1993,40000000.0,116300000.0,108.0,4.9,144.0,11.23297,"Drama, Thriller",1
Blade Runner,1982,28000000.0,33139618.0,117.0,7.9,3833.0,96.272374,"Science Fiction, Drama, Thriller",1
So I Married an Axe Murderer,1993,20000000.0,11585483.0,93.0,6.1,131.0,8.051914,"Comedy, Crime, Romance",0
Super Mario Bros.,1993,48000000.0,20915465.0,104.0,4.0,236.0,7.198455,"Adventure, Comedy, Family, Fantasy",0
Surviving the Game,1994,7400000.0,7690013.0,96.0,6.1,53.0,3.644641,"Action, Adventure, Thriller, Crime",1
Terminal Velocity,1994,50000000.0,16478900.0,102.0,5.0,82.0,8.012225,"Action, Thriller",0
The Nightmare Before Christmas,1993,18000000.0,75634409.0,76.0,7.6,2135.0,17.730913,"Fantasy, Animation, Family",1
The Three Musketeers,1993,30000000.0,53898845.0,105.0,6.2,219.0,6.34785,"Action, Adventure, Comedy",1
Tombstone,1993,25000000.0,56505065.0,130.0,7.4,632.0,11.338194,"Action, Adventure, Drama, History, Western",1
True Romance,1993,12500000.0,12281551.0,120.0,7.5,762.0,17.189328,"Action, Thriller, Crime, Romance",0
The Pagemaster,1994,27000000.0,13670688.0,80.0,6.2,178.0,7.436001,"Fantasy, Science Fiction, Family, Animation",0
Home Alone,1990,18000000.0,476684675.0,103.0,7.1,2487.0,0.702543,"Comedy, Family",1
Ghost,1990,22000000.0,505000000.0,127.0,6.9,1381.0,11.945397,"Fantasy, Drama, Thriller, Mystery, Romance",1
Aladdin,1992,28000000.0,504050219.0,90.0,7.4,3495.0,16.357419,"Animation, Family, Comedy, Adventure, Fantasy, Romance",1
Terminator 2: Judgment Day,1991,100000000.0,520000000.0,137.0,7.7,4274.0,22.661695,"Action, Thriller, Science Fiction",1
Dances with Wolves,1990,22000000.0,424208848.0,181.0,7.6,1084.0,11.654349,"Adventure, Drama, Western",1
Batman,1989,35000000.0,411348924.0,126.0,7.0,2145.0,19.10673,"Fantasy, Action",1
The Silence of the Lambs,1991,19000000.0,272742922.0,119.0,8.1,4549.0,4.307222,"Crime, Drama, Thriller",1
Snow White and the Seven Dwarfs,1937,1488423.0,184925486.0,83.0,6.9,1973.0,16.263878,"Fantasy, Animation, Family",1
Beauty and the Beast,1991,25000000.0,377350553.0,84.0,7.5,3029.0,23.433511,"Romance, Family, Animation, Fantasy, Music",1
Pinocchio,1940,2600000.0,84300000.0,88.0,6.9,1412.0,14.202284,"Animation, Family",1
Pretty Woman,1990,14000000.0,463000000.0,119.0,7.0,1807.0,13.348451,"Romance, Comedy",1
The Wild Bunch,1969,6244087.0,638641.0,145.0,7.7,266.0,11.722424,"Adventure, Western",0
Fargo,1996,7000000.0,60611975.0,98.0,7.7,2080.0,12.61469,"Crime, Drama, Thriller",1
Hellraiser: Bloodline,1996,4000000.0,16675000.0,86.0,4.9,111.0,5.263187,"Horror, Thriller, Science Fiction",1
The Aristocats,1970,4000000.0,55675257.0,78.0,7.1,1287.0,9.834047,"Animation, Comedy, Family, Adventure",1
Primal Fear,1996,30000000.0,102616183.0,129.0,7.4,644.0,10.326213,"Crime, Drama, Mystery, Thriller",1
Girl 6,1996,12000000.0,4939939.0,108.0,5.7,17.0,4.405169,Comedy,0
Courage Under Fire,1996,46000000.0,100860818.0,117.0,6.2,240.0,11.595316,"Drama, Thriller, Mystery, War",1
Mission: Impossible,1996,80000000.0,457696359.0,110.0,6.7,2677.0,15.793477,"Adventure, Action, Thriller",1
DragonHeart,1996,57000000.0,115267375.0,103.0,6.4,553.0,23.63659,Fantasy,1
James and the Giant Peach,1996,38000000.0,28921264.0,79.0,6.2,375.0,13.217623,"Adventure, Animation, Family",0
Faithful,1996,13000000.0,9789900.0,91.0,4.8,4.0,1.296862,"Comedy, Crime, Drama",0
Space Jam,1996,80000000.0,250200000.0,88.0,6.5,1335.0,11.054251,"Animation, Comedy, Drama, Family, Fantasy",1
Barbarella,1968,9000000.0,2500000.0,98.0,5.7,149.0,14.304205,Science Fiction,0
Mrs. Winterbourne,1996,25000000.0,10070000.0,105.0,5.5,26.0,9.1861,"Comedy, Romance, Drama",0
The Quest,1996,30000000.0,57400547.0,95.0,5.3,126.0,7.941972,"Action, Adventure",1
Oliver & Company,1988,31000000.0,74151346.0,74.0,6.5,372.0,10.813579,"Animation, Comedy, Family",1
Flipper,1996,25530000.0,20080020.0,95.0,5.3,85.0,4.557006,"Adventure, Family",0
The Horseman on the Roof,1995,35000000.0,15000000.0,135.0,6.7,25.0,1.690768,"War, Adventure, Drama, Romance",0
The Craft,1996,15000000.0,24769466.0,101.0,6.3,388.0,12.860385,"Drama, Fantasy, Horror, Thriller",1
Original Gangstas,1996,4800000.0,3014000.0,99.0,5.5,5.0,0.343579,"Action, Drama, Crime, Thriller",0
The Rock,1996,75000000.0,335062621.0,136.0,6.9,1474.0,13.249824,"Action, Adventure, Thriller",1
Twister,1996,92000000.0,494471524.0,113.0,6.1,966.0,8.739144,"Action, Adventure, Drama",1
The Arrival,1996,25000000.0,14048372.0,115.0,6.1,200.0,6.497591,"Action, Mystery, Science Fiction, Thriller",0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1800000.0,9440272.0,95.0,8.0,1472.0,9.80398,"Drama, Comedy, War",1
The Phantom,1996,45000000.0,17300889.0,100.0,4.7,138.0,8.079541,"Adventure, Action",0
Striptease,1996,50000000.0,113309743.0,115.0,4.4,210.0,11.341502,"Drama, Thriller, Crime",1
Jack,1996,45000000.0,58620973.0,113.0,5.9,340.0,6.287245,"Comedy, Drama, Science Fiction",1
Trainspotting,1996,4000000.0,16491080.0,93.0,7.8,2737.0,19.348466,"Drama, Crime",1
